run,raw_mean_queue,raw_n_samples,block_n_samples,window_size_points,gap_size_points,lag1_corr_blocks,lag2_corr_blocks,lag3_corr_blocks
1,317.2572222222222,1800,10,30,60,0.9972433290781619,0.9940213736286332,0.9939874419316326
2,325.77,1800,10,30,60,0.9985267112690762,0.9988954546064791,0.9964087989694167
3,300.2138888888889,1800,10,30,60,0.9923994394316348,0.9964581726807505,0.9927071930991926
4,292.1772222222222,1800,10,30,60,0.9975043940947121,0.9944188514124297,0.9968701952100991
5,325.53333333333336,1800,10,30,60,0.9962204335047582,0.9933118133703972,0.9917020190627278
6,288.8611111111111,1800,10,30,60,0.9959743929255905,0.9903171258838172,0.988960446036085
7,309.14222222222224,1800,10,30,60,0.995782390466518,0.9912454487808278,0.9937976604976734
8,315.465,1800,10,30,60,0.9974216353113706,0.9920027072770603,0.9852151695704414
9,298.8305555555556,1800,10,30,60,0.996396922620996,0.9912580660878122,0.986992740379046
10,315.86833333333334,1800,10,30,60,0.9937350444331606,0.979747511927324,0.9776121762156391
